Year,State,Number of CoCs,Overall Homeless
2008,AR,6,"3,255"
2008,AS,0, 
2008,AZ,3,"12,488"
2008,CA,42,"136,531"
2008,CO,3,"14,747"
2008,CT,12,"4,627"
2008,DC,1,"6,044"
2008,DE,1,933
2008,FL,28,"50,158"
2008,GA,7,"19,095"
2008,GU,1,725
2008,HI,2,"6,061"
2008,IA,3,"3,346"
2008,ID,2,"1,464"
2008,IL,21,"14,724"
2008,IN,3,"7,395"
2008,KS,5,"1,738"
2008,KY,3,"8,137"
2008,LA,9,"5,481"
2008,MA,21,"14,506"
2008,MD,16,"9,219"
2008,ME,3,"2,632"
2008,MI,22,"28,248"
2008,MN,11,"7,644"
2008,MO,8,"7,687"
2008,MP,0, 
2008,MS,3,"1,961"
2008,MT,1,"1,417"
2008,NC,13,"12,411"
2008,ND,1,615
2008,NE,7,"3,985"
2008,NH,3,"2,019"
2008,NJ,20,"13,832"
2008,NM,2,"3,015"
2008,NV,3,"8,726"
2008,NY,29,"61,125"
2008,OH,9,"12,912"
2008,OK,8,"3,846"
2008,OR,8,"20,653"
2008,PA,17,"15,378"
2008,PR,2,"3,012"
2008,RI,1,"1,196"
2008,SC,5,"5,660"
2008,SD,1,579
2008,TN,10,"9,705"
2008,TX,18,"40,190"
2008,UT,3,"3,434"
2008,VA,22,"8,469"
2008,VI,1,602
2008,VT,2,954
2008,WA,7,"21,954"
2008,WI,4,"5,449"
2008,WV,4,"2,016"
2008,WY,1,751
2007,AK,2,"1,642"
2007,AL,8,"5,452"
2007,AR,9,"3,836"
2007,AS,0, 
2007,AZ,3,"14,646"
2007,CA,42,"138,986"
2007,CO,3,"14,225"
2007,CT,12,"4,482"
2007,DC,1,"5,320"
2007,DE,1,"1,061"
2007,FL,27,"48,069"
2007,GA,7,"19,639"
2007,GU,1,725
2007,HI,2,"6,070"
2007,IA,3,"2,734"
2007,ID,2,"1,749"
2007,IL,21,"15,487"
2007,IN,3,"7,358"
2007,KS,6,"2,111"
2007,KY,3,"8,061"
2007,LA,9,"5,494"
2007,MA,21,"15,127"
2007,MD,16,"9,628"
2007,ME,3,"2,638"
2007,MI,24,"28,295"
2007,MN,13,"7,323"
2007,MO,9,"6,247"
2007,MP,0, 
2007,MS,3,"1,377"
2007,MT,1,"1,150"
2007,NC,13,"11,802"
2007,ND,1,636
2007,NE,7,"3,531"
2007,NH,3,"2,248"
2007,NJ,21,"17,314"
2007,NM,2,"3,015"
2007,NV,3,"8,642"
2007,NY,32,"62,601"
2007,OH,9,"11,264"
2007,OK,8,"4,221"
2007,OR,8,"17,590"
2007,PA,17,"16,220"
2007,PR,2,"4,309"
2007,RI,1,"1,372"
2007,SC,5,"5,660"
2007,SD,1,579
2007,TN,10,"11,210"
2007,TX,18,"39,788"
2007,UT,3,"3,011"
2007,VA,22,"9,746"
2007,VI,1,559
2007,VT,2,"1,035"
2007,WA,8,"23,379"
2007,WI,4,"5,648"
2007,WV,4,"2,409"
2007,WY,1,537
